Station: Magadino-Cadenazzo
Rural, < 1000 m
Hourly means, PREC: Hourly sums
MEZ/CET
Source: NABEL/MeteoSchweiz
Date/time;O3 [ug/m3];NO2 [ug/m3];SO2 [ug/m3];PM10 [ug/m3];PM2.5 [ug/m3];EC [ug/m3];NOX [ug/m3 eq. NO2];TEMP [C];PREC [mm];RAD [W/m2]
01.01.2021 01:00;2.5;48.6;3.5;55.8;43.3;2.6;73.8;-0.2;0.0;0.0
01.01.2021 02:00;2.0;43.6;2.7;49.2;38.4;2.2;60.7;-0.6;0.0;0.0
01.01.2021 03:00;4.2;41.9;3.1;45.1;35.1;2.0;48.2;-0.2;0.0;0.0
01.01.2021 04:00;2.3;41.4;2.9;46.4;36.3;1.9;48.7;-0.3;0.0;0.0
01.01.2021 05:00;2.4;39.4;3.1;42.9;33.5;1.7;44.1;-0.2;0.0;0.0
01.01.2021 06:00;2.7;36.9;3.1;40.6;31.8;1.6;39.9;-0.2;0.0;0.0
01.01.2021 07:00;2.5;33.8;2.7;41.2;31.3;2.7;36.8;0.1;0.0;0.0
01.01.2021 08:00;1.2;36.2;2.9;40.6;30.9;2.6;47.4;0.1;0.0;0.0
01.01.2021 09:00;5.2;32.9;3.8;33.7;26.1;1.4;40.9;0.1;0.4;4.5
01.01.2021 10:00;11.2;29.0;5.0;28.3;22.0;1.5;42.6;0.2;0.7;25.8
01.01.2021 11:00;12.8;28.0;4.7;27.5;21.8;1.4;46.3;0.2;0.8;45.0
01.01.2021 12:00;18.9;23.9;4.0;26.0;20.2;1.1;37.6;0.3;1.1;59.7
01.01.2021 13:00;21.9;24.6;4.3;26.4;20.9;1.0;36.3;0.3;1.6;57.3
01.01.2021 14:00;26.5;22.9;3.1;23.3;18.5;1.1;33.7;0.3;1.4;67.0
01.01.2021 15:00;22.6;28.4;2.3;27.9;22.2;1.4;41.5;0.3;1.0;53.2
01.01.2021 16:00;25.5;26.9;2.0;27.2;21.5;1.3;33.8;0.5;0.8;38.2
01.01.2021 17:00;20.3;32.8;1.7;24.2;19.0;1.1;35.4;0.6;0.9;3.7
01.01.2021 18:00;15.4;36.6;1.6;26.4;21.0;1.3;37.2;0.3;1.1;0.0
01.01.2021 19:00;11.5;40.0;1.6;36.9;29.2;1.7;40.6;0.3;1.5;0.0
01.01.2021 20:00;11.0;40.7;1.5;37.6;30.0;1.7;41.8;0.5;1.5;0.0
01.01.2021 21:00;15.8;32.3;1.4;32.8;26.2;1.4;32.7;0.4;0.7;0.0
01.01.2021 22:00;16.1;34.2;1.6;37.0;29.5;1.7;35.1;0.7;1.0;0.0
01.01.2021 23:00;18.4;30.5;1.6;35.2;27.8;1.5;31.1;0.6;0.5;0.0
02.01.2021 00:00;21.0;26.7;1.7;32.1;25.5;1.3;27.0;0.8;0.4;0.0
02.01.2021 01:00;19.4;26.8;2.3;30.6;25.9;1.4;27.2;0.7;0.6;0.0
02.01.2021 02:00;14.1;29.4;2.0;31.6;26.7;1.4;30.2;0.7;0.0;0.0
02.01.2021 03:00;15.4;26.7;1.7;29.1;24.4;1.2;27.1;0.8;0.0;0.0
02.01.2021 04:00;15.5;25.4;2.2;26.1;22.0;1.2;26.1;0.8;0.3;0.0
02.01.2021 05:00;14.5;25.4;2.0;26.1;22.1;1.1;25.8;0.9;0.6;0.0
02.01.2021 06:00;12.4;24.1;1.7;26.8;22.6;1.3;24.3;0.7;0.7;0.0
02.01.2021 07:00;7.9;28.0;1.9;27.3;23.0;1.3;28.4;0.8;0.7;0.0
02.01.2021 08:00;6.8;28.2;2.4;24.8;20.9;1.3;29.3;0.9;0.6;0.0
02.01.2021 09:00;7.1;27.0;2.0;25.6;21.5;1.3;31.8;0.9;0.7;3.0
02.01.2021 10:00;11.5;22.8;2.0;23.0;19.2;1.2;32.5;1.3;0.1;27.5
02.01.2021 11:00;13.1;24.5;2.5;21.7;17.6;1.3;42.7;1.4;0.0;56.3
02.01.2021 12:00;13.2;24.5;2.4;18.6;15.2;1.2;41.1;1.7;0.2;52.3
02.01.2021 13:00;14.5;23.3;2.5;20.4;16.5;1.4;47.7;1.8;0.0;95.3
02.01.2021 14:00;17.9;23.3;2.7;24.0;19.3;1.5;48.2;2.0;0.0;134.5
02.01.2021 15:00;13.5;31.5;2.7;29.0;23.2;1.6;61.7;2.3;0.0;83.0
02.01.2021 16:00;8.3;37.9;2.7;28.6;22.1;1.6;69.1;2.4;0.0;35.8
02.01.2021 17:00;5.2;36.5;2.2;23.8;18.9;1.4;52.0;2.3;0.1;7.0
02.01.2021 18:00;1.0;38.7;1.6;24.0;19.4;1.5;53.9;2.0;0.1;0.0
02.01.2021 19:00;1.3;38.0;1.6;29.7;24.1;1.6;57.6;1.6;0.7;0.0
02.01.2021 20:00;0.8;36.0;1.2;27.7;23.2;1.5;54.1;1.6;0.2;0.0
02.01.2021 21:00;1.2;34.6;1.2;30.5;25.6;1.7;61.0;1.5;0.0;0.0
02.01.2021 22:00;1.3;34.6;1.5;35.3;29.1;2.1;68.7;1.3;0.0;0.0
02.01.2021 23:00;2.2;36.2;2.1;35.9;29.6;2.1;62.3;1.6;0.2;0.0
03.01.2021 00:00;3.7;30.5;1.5;25.4;21.1;1.5;37.9;1.7;1.1;0.0
03.01.2021 01:00;2.0;30.8;1.3;24.9;20.6;1.5;38.6;1.7;0.8;0.0
03.01.2021 02:00;1.1;30.9;1.1;25.6;21.5;1.5;39.9;1.5;0.9;0.0
03.01.2021 03:00;1.6;30.7;1.4;23.9;19.9;1.4;34.3;1.9;1.6;0.0
03.01.2021 04:00;0.7;29.3;1.0;20.8;17.5;1.2;33.0;1.5;1.8;0.0
03.01.2021 05:00;0.5;28.3;0.8;18.4;15.6;1.0;32.4;1.5;1.0;0.0
03.01.2021 06:00;0.4;28.3;0.8;17.3;14.7;0.9;32.7;1.5;1.6;0.0
03.01.2021 07:00;0.4;28.0;0.9;16.3;13.8;1.0;34.2;1.6;3.3;0.0
