Station: Sion-Aéroport-A9
Rural, motorway
Hourly means, PREC: Hourly sums
MEZ/CET
Source: NABEL/MeteoSchweiz
Date/time;O3 [ug/m3];NO2 [ug/m3];PM10 [ug/m3];PM2.5 [ug/m3];NOX [ug/m3 eq. NO2];TEMP [C];PREC [mm];RAD [W/m2]
01.01.2021 01:00;23.6;24.5;15.6;12.4;26.3;1.2;0.0;0.0
01.01.2021 02:00;18.2;30.1;16.8;12.5;37.1;0.9;0.0;0.0
01.01.2021 03:00;22.6;25.4;15.8;11.6;28.8;0.8;0.0;0.0
01.01.2021 04:00;24.7;21.7;13.8;11.1;23.4;0.8;0.0;0.0
01.01.2021 05:00;26.1;19.5;11.7;9.2;21.5;0.7;0.0;0.0
01.01.2021 06:00;23.9;21.2;10.7;8.3;23.5;0.6;0.0;0.0
01.01.2021 07:00;20.9;22.8;9.7;7.5;26.6;0.3;0.0;0.0
01.01.2021 08:00;22.6;23.5;9.2;6.5;27.7;0.2;0.0;0.0
01.01.2021 09:00;18.1;29.4;7.6;5.6;37.3;-0.7;0.0;11.0
01.01.2021 10:00;19.8;29.2;7.6;5.4;41.8;-0.7;0.0;64.0
01.01.2021 11:00;19.6;32.4;13.0;7.3;55.0;0.3;0.0;77.5
01.01.2021 12:00;27.9;30.4;17.4;9.7;54.1;1.9;0.0;222.5
01.01.2021 13:00;40.0;20.7;13.5;6.5;35.3;3.2;0.0;280.5
01.01.2021 14:00;45.3;21.2;13.9;5.5;32.3;4.1;0.0;200.3
01.01.2021 15:00;47.7;23.7;14.2;5.6;37.6;5.1;0.0;199.7
01.01.2021 16:00;48.4;25.2;13.8;5.7;39.5;5.0;0.0;91.3
01.01.2021 17:00;51.8;13.3;5.9;3.4;14.4;3.2;0.0;23.8
01.01.2021 18:00;39.4;25.9;5.1;3.5;38.1;2.0;0.0;0.0
01.01.2021 19:00;7.3;61.0;11.8;7.5;100.3;0.7;0.0;0.0
01.01.2021 20:00;2.9;59.2;11.7;8.5;111.7;-0.3;0.0;0.0
